소단원명	질문	정답
01. 이등변삼각형의 성질	이등변삼각형의 정의는 무엇인가?	두 변의 길이가 같은 삼각형입니다.
01. 이등변삼각형의 성질	이등변삼각형에서 길이가 같은 두 변이 이루는 각은?	꼭지각입니다.
01. 이등변삼각형의 성질	꼭지각과 마주 보는 변의 명칭은?	밑변입니다.
01. 이등변삼각형의 성질	밑변의 양 끝에 위치한 두 각을 무엇이라 하는가?	밑각입니다.
01. 이등변삼각형의 성질	이등변삼각형의 두 밑각의 크기는 어떠한가?	서로 같습니다.
01. 이등변삼각형의 성질	꼭지각의 이등분선은 밑변을 어떻게 하는가?	밑변을 수직이등분합니다.
01. 이등변삼각형의 성질	두 내각의 크기가 같은 삼각형은 어떤 삼각형인가?	이등변삼각형입니다.
01. 이등변삼각형의 성질	이등변삼각형의 꼭지각이 80도일 때 한 밑각의 크기는?	50도입니다.
01. 이등변삼각형의 성질	한 밑각이 70도일 때 꼭지각의 크기는?	40도입니다.
01. 이등변삼각형의 성질	정삼각형은 이등변삼각형이라고 할 수 있는가?	네, 두 변의 길이가 같으므로 이등변삼각형의 조건을 만족합니다.
01. 이등변삼각형의 성질	이등변삼각형에서 밑변의 수직이등분선은 어디를 지나는가?	꼭짓점을 지납니다.
01. 이등변삼각형의 성질	두 변의 길이가 같음을 증명할 때 주로 사용하는 합동 조건은?	에스에이에스(SAS) 합동입니다.
01. 이등변삼각형의 성질	꼭지각의 이등분선에 의해 나누어지는 두 삼각형은 어떤 관계인가?	서로 합동입니다.
01. 이등변삼각형의 성질	이등변삼각형의 밑각이 둔각일 수 있는가?	아니요, 두 밑각의 합이 180도를 넘을 수 없으므로 항상 예각이어야 합니다.
01. 이등변삼각형의 성질	밑변의 이등분선이 밑변과 수직이면 그 삼각형은 무엇인가?	이등변삼각형입니다.
01. 이등변삼각형의 성질	이등변삼각형 ABC에서 AB=AC일 때 각 B와 같은 각은?	각 C입니다.
01. 이등변삼각형의 성질	폭이 일정한 종이를 접었을 때 생기는 삼각형은 주로 어떤 삼각형인가?	이등변삼각형입니다.
01. 이등변삼각형의 성질	이등변삼각형에서 꼭지각의 이등분선과 밑변이 이루는 각도는?	90도입니다.
01. 이등변삼각형의 성질	꼭지각의 외각의 크기는 한 밑각과 어떤 관계인가?	한 밑각의 크기의 2배와 같습니다.
01. 이등변삼각형의 성질	내각이 60도, 60도, 60도인 삼각형은 이등변삼각형인가?	네, 정삼각형이자 이등변삼각형입니다.
02. 직각삼각형의 합동	직각삼각형의 합동 조건 중 R은 무엇을 뜻하는가?	직각(Right angle)을 뜻합니다.
02. 직각삼각형의 합동	직각삼각형의 합동 조건 중 H는 무엇을 뜻하는가?	빗변(Hypotenuse)을 뜻합니다.
02. 직각삼각형의 합동	RHA 합동 조건이란 무엇인가?	빗변의 길이와 한 예각의 크기가 각각 같은 두 직각삼각형은 합동이라는 조건입니다.
02. 직각삼각형의 합동	RHS 합동 조건이란 무엇인가?	빗변의 길이와 다른 한 변의 길이가 각각 같은 두 직각삼각형은 합동이라는 조건입니다.
02. 직각삼각형의 합동	직각삼각형에서 가장 긴 변을 무엇이라 하는가?	빗변입니다.
02. 직각삼각형의 합동	두 직각삼각형에서 빗변과 한 각이 같으면 무슨 합동인가?	RHA 합동입니다.
02. 직각삼각형의 합동	두 직각삼각형에서 빗변과 다른 한 변이 같으면 무슨 합동인가?	RHS 합동입니다.
02. 직각삼각형의 합동	각의 이등분선 위의 한 점에서 그 각의 두 변에 이르는 거리는?	서로 같습니다.
02. 직각삼각형의 합동	각의 두 변에서 같은 거리에 있는 점은 어디 위에 있는가?	그 각의 이등분선 위에 있습니다.
02. 직각삼각형의 합동	두 직각삼각형에서 직각을 낀 두 변의 길이가 각각 같으면?	SAS 합동입니다.
02. 직각삼각형의 합동	빗변의 길이가 10으로 같고 한 각이 30도로 같은 두 직각삼각형은 합동인가?	네, RHA 합동입니다.
02. 직각삼각형의 합동	직각삼각형의 합동을 판별할 때 가장 먼저 확인해야 할 변은?	빗변의 길이가 같은지 확인해야 합니다.
02. 직각삼각형의 합동	RHA 합동을 일반 삼각형의 합동 조건으로 설명하면?	ASA 또는 AAS 합동의 특수한 경우입니다.
02. 직각삼각형의 합동	RHS 합동을 증명할 때 어떤 삼각형을 만들어 증명하는가?	이등변삼각형을 만들어 증명합니다.
02. 직각삼각형의 합동	각의 이등분선의 성질을 증명할 때 사용되는 합동 조건은?	RHA 합동입니다.
02. 직각삼각형의 합동	직각이등변삼각형 두 개는 항상 합동인가?	아니요, 빗변이나 한 변의 길이가 같아야 합니다.
02. 직각삼각형의 합동	두 직각삼각형의 빗변이 아닌 두 변의 길이가 각각 같으면?	SAS 합동입니다.
02. 직각삼각형의 합동	삼각형의 내각 중 한 각이 직각인 삼각형은?	직각삼각형입니다.
02. 직각삼각형의 합동	RHS 합동에서 S는 무엇의 약자인가?	변(Side)의 약자입니다.
02. 직각삼각형의 합동	직각삼각형의 두 예각의 합은 항상 몇 도인가?	90도입니다.
03. 삼각형의 외심	삼각형의 외심이란 무엇인가?	삼각형의 세 꼭짓점을 지나는 원(외접원)의 중심입니다.
03. 삼각형의 외심	외심은 어떻게 찾는가?	삼각형의 세 변의 수직이등분선의 교점입니다.
03. 삼각형의 외심	외심에서 세 꼭짓점에 이르는 거리는 어떠한가?	외접원의 반지름으로 모두 같습니다.
03. 삼각형의 외심	예각삼각형의 외심은 어디에 위치하는가?	삼각형의 내부에 위치합니다.
03. 삼각형의 외심	직각삼각형의 외심은 어디에 위치하는가?	빗변의 중점에 위치합니다.
03. 삼각형의 외심	둔각삼각형의 외심은 어디에 위치하는가?	삼각형의 외부에 위치합니다.
03. 삼각형의 외심	삼각형의 세 변의 수직이등분선은 한 점에서 만나는가?	네, 그 점이 바로 외심입니다.
