소단원명	질문	정답
01. 제곱근의 뜻과 표현	제곱근의 정의는 무엇인가?	어떤 수 x를 제곱하여 a가 될 때, x를 a의 제곱근이라고 합니다.
01. 제곱근의 뜻과 표현	양수 a의 제곱근은 몇 개인가?	양수와 음수 두 개이며, 그 절댓값은 서로 같습니다.
01. 제곱근의 뜻과 표현	0의 제곱근은 무엇인가?	0 하나뿐입니다.
01. 제곱근의 뜻과 표현	음수의 제곱근은 존재하는가?	실수 범위에서는 존재하지 않습니다.
01. 제곱근의 뜻과 표현	제곱근을 나타내기 위해 사용하는 기호는?	근호 또는 루트라고 부르는 기호를 사용합니다.
01. 제곱근의 뜻과 표현	양수 a의 양의 제곱근은 어떻게 표시하는가?	루트 a로 표시합니다.
01. 제곱근의 뜻과 표현	양수 a의 음의 제곱근은 어떻게 표시하는가?	마이너스 루트 a로 표시합니다.
01. 제곱근의 뜻과 표현	제곱근 a와 a의 제곱근의 차이는?	제곱근 a는 루트 a만을 뜻하고, a의 제곱근은 플러스 마이너스 루트 a 두 개를 뜻합니다.
01. 제곱근의 뜻과 표현	9의 제곱근은 얼마인가?	플러스 3과 마이너스 3입니다.
01. 제곱근의 뜻과 표현	제곱근 16은 얼마인가?	4입니다.
01. 제곱근의 뜻과 표현	0.25의 제곱근은?	플러스 0.5와 마이너스 0.5입니다.
01. 제곱근의 뜻과 표현	분수 4분의 9의 제곱근은?	플러스 2분의 3과 마이너스 2분의 3입니다.
01. 제곱근의 뜻과 표현	루트 81의 제곱근을 구하는 순서는?	먼저 루트 81을 9로 바꾼 뒤, 9의 제곱근인 플러스 마이너스 3을 구합니다.
01. 제곱근의 뜻과 표현	기호 루트 안의 숫자가 제곱수이면 어떻게 되는가?	근호를 벗고 유리수로 나타낼 수 있습니다.
01. 제곱근의 뜻과 표현	어떤 수의 제곱근이 7과 마이너스 7이면 그 수는?	49입니다.
