소단원명	질문	정답
01. 삼각비	삼각비란 무엇인가?	직각삼각형에서 두 변의 길이의 비를 말합니다.
01. 삼각비	사인의 정의는 무엇인가?	직각삼각형에서 빗변의 길이 분의 높이입니다.
01. 삼각비	코사인의 정의는 무엇인가?	직각삼각형에서 빗변의 길이 분의 밑변의 길이입니다.
01. 삼각비	탄젠트의 정의는 무엇인가?	직각삼각형에서 밑변의 길이 분의 높이입니다.
01. 삼각비	삼각비는 삼각형의 크기에 따라 달라지는가?	아니요, 닮은 직각삼각형이라면 크기에 관계없이 일정합니다.
01. 삼각비	사인 에이(A)를 구할 때 기준이 되는 각은?	각 에이입니다.
01. 삼각비	직각삼각형의 세 변 중 가장 긴 변은?	빗변입니다.
01. 삼각비	사인 값과 코사인 값의 범위는 (예각에서)?	0보다 크고 1보다 작습니다.
01. 삼각비	탄젠트 값은 1보다 커질 수 있는가?	네, 높이가 밑변보다 길면 1보다 커집니다.
01. 삼각비	삼각형의 닮음을 이용해 삼각비를 구하는 이유는?	변의 길이를 직접 알 수 없을 때 닮은 도형의 비를 쓰기 위해서입니다.
01. 삼각비	직각삼각형에서 한 예각의 크기가 정해지면 삼각비는?	오직 하나로 정해집니다.
01. 삼각비	사인 값의 역수가 코사인 값인가?	아니요, 그렇지 않습니다.
01. 삼각비	코사인 에이는 사인 (90 마이너스 에이)와 같은가?	네, 서로 같습니다.
01. 삼각비	삼각비를 구할 때 각의 위치는 보통 어디에 두는가?	기준 각을 왼쪽 아래, 직각을 오른쪽 아래에 둡니다.
01. 삼각비	빗변이 5, 높이가 3인 직각삼각형의 사인 값은?	5분의 3입니다.
01. 삼각비	빗변이 13, 밑변이 12인 직각삼각형의 코사인 값은?	13분의 12입니다.
01. 삼각비	밑변이 4, 높이가 3인 직각삼각형의 탄젠트 값은?	4분의 3입니다.
01. 삼각비	삼각비 중 밑변을 포함하지 않는 것은?	사인입니다.
01. 삼각비	삼각비 중 높이를 포함하지 않는 것은?	코사인입니다.
01. 삼각비	탄젠트는 사인과 코사인으로 어떻게 나타내는가?	코사인 분의 사인입니다.
02. 30도, 45도, 60도의 삼각비의 값	사인 30도의 값은 얼마인가?	2분의 1입니다.
02. 30도, 45도, 60도의 삼각비의 값	코사인 30도의 값은 얼마인가?	2분의 루트 3입니다.
02. 30도, 45도, 60도의 삼각비의 값	탄젠트 30도의 값은 얼마인가?	3분의 루트 3(또는 루트 3분의 1)입니다.
02. 30도, 45도, 60도의 삼각비의 값	사인 45도의 값은 얼마인가?	2분의 루트 2입니다.
02. 30도, 45도, 60도의 삼각비의 값	코사인 45도의 값은 얼마인가?	2분의 루트 2입니다.
02. 30도, 45도, 60도의 삼각비의 값	탄젠트 45도의 값은 얼마인가?	1입니다.
02. 30도, 45도, 60도의 삼각비의 값	사인 60도의 값은 얼마인가?	2분의 루트 3입니다.
02. 30도, 45도, 60도의 삼각비의 값	코사인 60도의 값은 얼마인가?	2분의 1입니다.
02. 30도, 45도, 60도의 삼각비의 값	탄젠트 60도의 값은 얼마인가?	루트 3입니다.
02. 30도, 45도, 60도의 삼각비의 값	사인 45도와 코사인 45도의 크기 관계는?	서로 같습니다.
02. 30도, 45도, 60도의 삼각비의 값	각이 커질수록 사인 값은 어떻게 되는가?	커집니다.
02. 30도, 45도, 60도의 삼각비의 값	각이 커질수록 코사인 값은 어떻게 되는가?	작아집니다.
02. 30도, 45도, 60도의 삼각비의 값	각이 커질수록 탄젠트 값은 어떻게 되는가?	커집니다.
02. 30도, 45도, 60도의 삼각비의 값	정삼각형의 절반을 이용해 구할 수 있는 특수각은?	30도와 60도입니다.
