소단원명	질문	정답
01. 소수와 합성수	소수의 정의는 무엇인가?	1보다 큰 자연수 중에서 1과 자기 자신만을 약수로 갖는 수입니다.
01. 소수와 합성수	합성수의 정의는 무엇인가?	1보다 큰 자연수 중에서 소수가 아닌 수로, 약수가 3개 이상인 수입니다.
01. 소수와 합성수	자연수 1은 소수인가 합성수인가?	1은 소수도 아니고 합성수도 아닙니다.
01. 소수와 합성수	소수 중 유일한 짝수는 무엇인가?	2입니다.
01. 소수와 합성수	가장 작은 소수는 무엇인가?	2입니다.
01. 소수와 합성수	약수의 개수가 2개인 자연수를 무엇이라 하는가?	소수입니다.
01. 소수와 합성수	거듭제곱에서 곱하는 수나 문자를 무엇이라 하는가?	밑입니다.
01. 소수와 합성수	거듭제곱에서 밑이 곱해진 횟수를 나타내는 숫자는?	지수입니다.
01. 소수와 합성수	2의 3제곱의 의미는 무엇인가?	2를 3번 곱했다는 뜻입니다.
01. 소수와 합성수	10 이하의 소수를 모두 말하면?	2, 3, 5, 7입니다.
01. 소수와 합성수	모든 소수는 홀수인가?	아니요, 2는 소수이지만 짝수입니다.
01. 소수와 합성수	가장 작은 합성수는 무엇인가?	4입니다.
01. 소수와 합성수	9는 소수인가 합성수인가?	약수가 1, 3, 9로 3개이므로 합성수입니다.
01. 소수와 합성수	에라토스테네스의 체는 무엇을 찾는 방법인가?	소수를 찾는 방법입니다.
01. 소수와 합성수	약수가 딱 3개인 수들의 특징은?	소수의 제곱수들입니다.
01. 소수와 합성수	지수가 1인 경우 보통 어떻게 표기하는가?	지수 1은 생략하고 밑만 씁니다.
01. 소수와 합성수	15는 소수인가 합성수인가?	약수가 1, 3, 5, 15이므로 합성수입니다.
01. 소수와 합성수	2의 5제곱의 값은 얼마인가?	32입니다.
01. 소수와 합성수	자연수를 약수의 개수에 따라 세 분류로 나누면?	1, 소수, 합성수입니다.
01. 소수와 합성수	20 이하의 소수 중 가장 큰 수는?	19입니다.
02. 소인수분해	소인수란 무엇인가?	어떤 자연수의 약수 중에서 소수인 수를 말합니다.
02. 소인수분해	소인수분해란 무엇인가?	1보다 큰 자연수를 그 수의 소인수들만의 곱으로 나타내는 것입니다.
02. 소인수분해	12를 소인수분해하면?	2의 2제곱 곱하기 3입니다.
02. 소인수분해	18의 소인수를 모두 구하면?	2와 3입니다.
02. 소인수분해	소인수분해 결과에서 소인수의 순서는 보통 어떻게 쓰는가?	보통 작은 소인수부터 순서대로 씁니다.
02. 소인수분해	소인수분해를 이용해 약수를 구하는 원리는?	각 소인수의 거듭제곱의 약수들을 서로 조합하여 곱합니다.
02. 소인수분해	소인수분해를 이용한 약수의 개수 공식은?	각 소인수의 지수에 1을 더하여 모두 곱합니다.
02. 소인수분해	2의 2제곱 곱하기 5의 3제곱의 약수의 개수는?	(2+1) 곱하기 (3+1) 이므로 12개입니다.
02. 소인수분해	제곱수란 무엇인가?	어떤 자연수를 제곱하여 얻은 수입니다.
02. 소인수분해	어떤 수가 제곱수가 되기 위한 소인수분해 조건은?	모든 소인수의 지수가 짝수여야 합니다.
02. 소인수분해	소인수분해의 결과는 곱하는 순서를 무시하면 오직 하나뿐인가?	네, 오직 한 가지로만 나타납니다.
02. 소인수분해	60의 약수의 개수는?	60은 2의 2제곱 곱하기 3 곱하기 5이므로 12개입니다.
02. 소인수분해	24를 소인수분해하면?	2의 3제곱 곱하기 3입니다.
02. 소인수분해	12에 어떤 가장 작은 수를 곱해야 제곱수가 되는가?	지수가 홀수인 3을 곱해야 합니다.
02. 소인수분해	81의 약수의 개수는?	81은 3의 4제곱이므로 5개입니다.
02. 소인수분해	100의 소인수를 모두 말하면?	2와 5입니다.
02. 소인수분해	약수의 개수가 2개인 자연수는 무엇인가?	소수입니다.
02. 소인수분해	어떤 수의 소인수가 2와 3일 때, 이 수는 어떤 수들의 곱으로 표현되는가?	2의 거듭제곱과 3의 거듭제곱의 곱입니다.
02. 소인수분해	72를 소인수분해하면?	2의 3제곱 곱하기 3의 2제곱입니다.
02. 소인수분해	45를 소인수분해하면?	3의 2제곱 곱하기 5입니다.
03. 최대공약수	공약수란 무엇인가?	두 개 이상의 자연수의 공통인 약수입니다.
03. 최대공약수	최대공약수란 무엇인가?	공약수 중에서 가장 큰 수입니다.
03. 최대공약수	서로소의 정의는 무엇인가?	최대공약수가 1인 두 자연수입니다.
03. 최대공약수	공약수와 최대공약수의 관계는?	두 수의 공약수는 최대공약수의 약수와 같습니다.
03. 최대공약수	8과 15는 서로소인가?	네, 최대공약수가 1이므로 서로소입니다.
03. 최대공약수	9와 12는 서로소인가?	아니요, 최대공약수가 3이므로 서로소가 아닙니다.
03. 최대공약수	최대공약수가 12인 두 수의 공약수는?	1, 2, 3, 4, 6, 12입니다.
