소단원명	질문	정답
01. 유리수와 순환소수	유리수란 무엇인가?	분자, 분모가 정수이고 분모가 0이 아닌 분수 꼴로 나타낼 수 있는 수입니다.
01. 유리수와 순환소수	유한소수란 무엇인가?	소수점 아래의 0이 아닌 숫자가 유한 번 나타나는 소수입니다.
01. 유리수와 순환소수	무한소수란 무엇인가?	소수점 아래의 0이 아닌 숫자가 무한 번 나타나는 소수입니다.
01. 유리수와 순환소수	순환소수의 정의는 무엇인가?	무한소수 중에서 소수점 아래 어떤 자리부터 일정 숫자의 배열이 끝없이 되풀이되는 소수입니다.
01. 유리수와 순환소수	순환마디란 무엇인가?	순환소수의 소수점 아래에서 숫자의 배열이 되풀이되는 한 부분입니다.
01. 유리수와 순환소수	순환소수 0.123123...의 순환마디는?	123입니다.
01. 유리수와 순환소수	순환소수의 표현 방법은?	순환마디의 양 끝 숫자 위에 점을 찍어 나타냅니다.
01. 유리수와 순환소수	원주율 파이는 순환소수인가?	아니요, 순환하지 않는 무한소수입니다.
01. 유리수와 순환소수	분수를 기약분수로 고쳤을 때 유한소수가 되는 조건은?	분모의 소인수가 2 또는 5뿐이어야 합니다.
01. 유리수와 순환소수	기약분수란 무엇인가?	분모와 분자의 공약수가 1뿐이어서 더 이상 약분되지 않는 분수입니다.
01. 유리수와 순환소수	분모에 2나 5 이외의 소인수가 있으면 어떤 소수가 되는가?	순환소수가 됩니다.
01. 유리수와 순환소수	유한소수는 모두 유리수인가?	네, 모두 분수 꼴로 나타낼 수 있으므로 유리수입니다.
01. 유리수와 순환소수	순환소수는 모두 유리수인가?	네, 모두 분수 꼴로 나타낼 수 있으므로 유리수입니다.
01. 유리수와 순환소수	분모의 소인수가 2와 3인 기약분수는 어떤 소수인가?	순환소수입니다.
01. 유리수와 순환소수	분수 13/20을 소수로 나타내면 유한소수인가?	네, 분모 20이 2의 제곱 곱하기 5이므로 유한소수입니다.
01. 유리수와 순환소수	모든 무한소수는 유리수인가?	아니요, 순환하지 않는 무한소수는 유리수가 아닙니다.
01. 유리수와 순환소수	정수가 아닌 유리수를 소수로 나타내면 어떻게 되는가?	유한소수 또는 순환소수가 됩니다.
01. 유리수와 순환소수	분모가 2와 5 외에 7을 가져도 유한소수가 될 수 있는 경우는?	분자의 7을 약분하여 없앨 수 있을 때입니다.
01. 유리수와 순환소수	0.1010010001...은 순환소수인가?	아니요, 숫자의 배열이 일정하게 반복되지 않으므로 순환소수가 아닙니다.
01. 유리수와 순환소수	분모의 소인수가 5와 7인 기약분수를 유한소수로 만들려면 분자에 무엇이 필요하나?	7의 배수가 필요합니다.
02. 순환소수를 분수로 나타내기	순환소수를 x로 놓고 10의 거듭제곱을 곱하는 이유는?	소수점 아래 부분을 같게 만들어 빼서 없애기 위해서입니다.
02. 순환소수를 분수로 나타내기	x=0.555...를 분수로 고칠 때 이용하는 식은?	10x 빼기 x입니다.
02. 순환소수를 분수로 나타내기	공식을 이용할 때 분모는 어떻게 결정하나?	순환마디 숫자 개수만큼 9를 쓰고, 소수점 아래 순환하지 않는 숫자 개수만큼 0을 씁니다.
02. 순환소수를 분수로 나타내기	공식을 이용할 때 분자는 어떻게 결정하나?	전체 수에서 순환하지 않는 부분의 수를 뺍니다.
02. 순환소수를 분수로 나타내기	순환소수 0.777...을 분수로 나타내면?	9분의 7입니다.
02. 순환소수를 분수로 나타내기	순환소수 0.1212...를 분수로 나타내면?	99분의 12이며 약분하면 33분의 4입니다.
02. 순환소수를 분수로 나타내기	모든 순환소수는 분수로 나타낼 수 있는가?	네, 따라서 모든 순환소수는 유리수입니다.
02. 순환소수를 분수로 나타내기	0.999...를 분수로 나타내면 얼마인가?	1입니다.
02. 순환소수를 분수로 나타내기	x=1.2333...을 분수로 고칠 때 이용하는 가장 간단한 식은?	100x 빼기 10x입니다.
02. 순환소수를 분수로 나타내기	어떤 기약분수의 분모를 잘못 보았다는 말의 의미는?	분자는 정확하게 보았다는 뜻입니다.
02. 순환소수를 분수로 나타내기	순환소수를 계산할 때 가장 정확한 방법은?	분수로 고쳐서 계산하는 것입니다.
02. 순환소수를 분수로 나타내기	유리수와 소수의 관계에서 모든 소수는 분수로 나타낼 수 있는가?	아니요, 순환하지 않는 무한소수는 불가능합니다.
02. 순환소수를 분수로 나타내기	분모가 990인 순환소수의 소수점 아래 특징은?	순환마디 숫자가 2개이고 소수점 아래 순환하지 않는 숫자가 1개입니다.
02. 순환소수를 분수로 나타내기	순환소수 1.2(2 위에 점)를 분수로 나타내면?	9분의 (12-1)이므로 9분의 11입니다.
02. 순환소수를 분수로 나타내기	두 순환소수의 합은 항상 순환소수인가?	아니요, 정수가 될 수도 있습니다.
02. 순환소수를 분수로 나타내기	0.15(5 위에 점)를 분수로 나타내면?	90분의 14이며 약분하면 45분의 7입니다.
02. 순환소수를 분수로 나타내기	기약분수 중에는 소수로 나타낼 수 없는 것도 있는가?	아니요, 모든 분수는 소수로 나타낼 수 있습니다.
02. 순환소수를 분수로 나타내기	무한소수 중에서 유리수인 것은?	순환소수입니다.
02. 순환소수를 분수로 나타내기	분수 a/b가 순환소수일 때, b의 소인수 특징은?	2와 5 이외의 소인수가 반드시 존재합니다.
02. 순환소수를 분수로 나타내기	순환하지 않는 무한소수를 다른 말로 무엇이라 하는가?	무리수라고 합니다 (3학년 과정 참고).
03. 단항식의 계산	밑이 같은 두 거듭제곱의 곱셈 방법은?	밑을 그대로 쓰고 지수끼리 더합니다.
03. 단항식의 계산	(a의 m제곱)의 n제곱은 어떻게 계산하나?	지수끼리 곱하여 a의 mn제곱으로 나타냅니다.
03. 단항식의 계산	거듭제곱의 나눗셈에서 지수가 같으면 결과는?	1입니다.
03. 단항식의 계산	(ab)의 m제곱은 어떻게 전개되나?	a의 m제곱 곱하기 b의 m제곱입니다.
03. 단항식의 계산	음수를 짝수 번 거듭제곱하면 부호는?	플러스입니다.
03. 단항식의 계산	음수를 홀수 번 거듭제곱하면 부호는?	마이너스입니다.
03. 단항식의 계산	단항식의 곱셈 기본 방법은?	계수는 계수끼리, 문자는 문자끼리 계산합니다.
03. 단항식의 계산	단항식의 나눗셈 첫 번째 방법은?	분수 꼴로 바꾸어 약분합니다.
03. 단항식의 계산	나누는 식이 분수 꼴일 때 편리한 방법은?	역수의 곱셈으로 바꾸는 것입니다.
03. 단항식의 계산	지수법칙에서 지수가 앞이 더 큰 나눗셈은?	지수끼리 뺍니다.
03. 단항식의 계산	지수법칙에서 뒤의 지수가 더 큰 나눗셈은?	분수 형태로 큰 지수에서 작은 지수를 뺀 값을 분모에 씁니다.
03. 단항식의 계산	거듭제곱이 포함된 혼합 계산에서 가장 먼저 할 일은?	거듭제곱을 먼저 계산합니다.
03. 단항식의 계산	2의 3제곱 곱하기 5의 3제곱의 자릿수를 구하는 핵심은?	10의 3제곱으로 묶어 생각하는 것입니다.
03. 단항식의 계산	단항식의 곱셈에서 부호가 마이너스인 식이 홀수 개이면?	결과 부호는 마이너스입니다.
03. 단항식의 계산	어떤 식에 0을 곱하면 결과는?	항상 0입니다.
03. 단항식의 계산	A 나누기 B 곱하기 C를 계산할 때 순서는?	앞에서부터 차례로 계산합니다.
03. 단항식의 계산	삼각형의 넓이를 단항식으로 나타낼 때 공식은?	2분의 1 곱하기 밑변 곱하기 높이입니다.
